monster	display_name	boss	level	health	mana	actions	draw	preferred_starting_cards	starting_equipment	rule_deck	generated_attack_slots	generated_attack_cards	final_deck	health_source
DiscipleOfChaos	Disciple of Chaos	False	3	10	0	1	2			ChaosPrayer,ChaosPrayer,ChaosPrayer,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike	8	Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2	ChaosPrayer,ChaosPrayer,ChaosPrayer,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
DiscipleOfChaos	Disciple of Chaos	False	4	15	0	1	2			ChaosPrayer,ChaosPrayer,ChaosPrayer,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike	8	Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	ChaosPrayer,ChaosPrayer,ChaosPrayer,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,ChaosStrike,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
EarthElemental	Earth Elemental	False	5	20	5	1	2	Infect3,Infect3,Infect2,Infect1,Infect1		Infect1,Infect1,Infect1,Infect1,Infect1,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Infect1,Infect1,Infect1,Infect1,Infect1,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
EarthElemental	Earth Elemental	False	6	30	5	1	2	Infect3,Infect3,Infect2,Infect1,Infect1		Infect1,Infect1,Infect1,Infect1,Infect1,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	Infect1,Infect1,Infect1,Infect1,Infect1,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	HealthValue * health_mult
EarthElemental	Earth Elemental	False	7	40	5	1	2	Infect3,Infect3,Infect2,Infect1,Infect1		Infect3,Infect3,Infect2,Infect2,Infect2,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge	13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Infect3,Infect3,Infect2,Infect2,Infect2,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
EarthElemental	Earth Elemental	False	8	55	5	1	2	Infect3,Infect3,Infect2,Infect1,Infect1		Infect3,Infect3,Infect3,Infect3,Infect3,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge	13	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	Infect3,Infect3,Infect3,Infect3,Infect3,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
EarthElemental	Earth Elemental	False	9	70	5	1	2	Infect3,Infect3,Infect2,Infect1,Infect1		Infect3,Infect3,Infect3,Infect3,Infect3,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge,Stoneskin	13	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Infect3,Infect3,Infect3,Infect3,Infect3,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge,Stoneskin,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
EarthElemental	Earth Elemental	False	10	85	5	1	2	Infect3,Infect3,Infect2,Infect1,Infect1		Infect3,Infect3,Infect3,Infect3,Infect3,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge,Stoneskin,Solidify	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	Infect3,Infect3,Infect3,Infect3,Infect3,Infect1,EarthShape,EarthShape,ManaSurge,ManaSurge,Stoneskin,Solidify,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
Efreet	Efreet	False	7	90	0	1	2	Burn2		Scorch,Scorch,Burn2,Burn2,Burn2	18	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Scorch,Scorch,Burn2,Burn2,Burn2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Efreet	Efreet	False	8	123	0	1	2	Burn2		Scorch,Scorch,Burn2,Burn2,Burn2	18	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	Scorch,Scorch,Burn2,Burn2,Burn2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	HealthValue * health_mult
Efreet	Efreet	False	9	157	0	1	2	Burn2		Scorch,Scorch,Burn2,Burn2,Burn2,Burn2	18	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Scorch,Scorch,Burn2,Burn2,Burn2,Burn2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Efreet	Efreet	False	10	191	0	1	2	Burn2		Scorch,Scorch,Burn2,Burn2,Burn2,Burn2	20	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4,Attack4	Scorch,Scorch,Burn2,Burn2,Burn2,Burn2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4,Attack4	HealthValue * health_mult
FaerieRogue	Faerie Rogue	False	4	15	0	1	3			Riposte,Riposte,Riposte,Disorient,Disorient	15	Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Riposte,Riposte,Riposte,Disorient,Disorient,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
FaerieRogue	Faerie Rogue	False	5	20	0	1	3			Riposte,Riposte,Riposte,Disorient,Disorient	18	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Riposte,Riposte,Riposte,Disorient,Disorient,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
FaerieRogue	Faerie Rogue	False	6	30	0	1	3			Riposte,Riposte,Riposte,Disorient,Disorient	18	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3	Riposte,Riposte,Riposte,Disorient,Disorient,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
FaerieRogue	Faerie Rogue	False	7	40	0	1	3			Riposte,Riposte,Riposte,Disorient,Disorient	20	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Riposte,Riposte,Riposte,Disorient,Disorient,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
FireElemental	Fire Elemental	False	5	20	5	1	2	FlameStrike		FlameStrike,FlameSlash1,FlameSlash1,FlameSlash1,FireShape,FireShape,ManaSurge,ManaSurge	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	FlameStrike,FlameSlash1,FlameSlash1,FlameSlash1,FireShape,FireShape,ManaSurge,ManaSurge,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
FireElemental	Fire Elemental	False	6	30	5	1	2	FlameStrike		FlameStrike,FlameSlash1,FlameSlash1,FlameSlash1,FireShape,FireShape,ManaSurge,ManaSurge	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	FlameStrike,FlameSlash1,FlameSlash1,FlameSlash1,FireShape,FireShape,ManaSurge,ManaSurge,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	HealthValue * health_mult
FireElemental	Fire Elemental	False	7	40	5	1	2	FlameStrike		FlameStrike,FlameSlash2,FlameSlash2,FlameSlash2,FireShape,FireShape,ManaSurge,ManaSurge,FlameSlash2,FlameSlash2,FlameSlash2	13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	FlameStrike,FlameSlash2,FlameSlash2,FlameSlash2,FireShape,FireShape,ManaSurge,ManaSurge,FlameSlash2,FlameSlash2,FlameSlash2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
FireElemental	Fire Elemental	False	8	55	5	1	2	FlameStrike		FlameStrike,FlameStrike,FlameSlash2,FlameSlash2,FireShape,FireShape,ManaSurge,ManaSurge,FlameSlash2,FlameSlash2,FlameSlash2	13	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	FlameStrike,FlameStrike,FlameSlash2,FlameSlash2,FireShape,FireShape,ManaSurge,ManaSurge,FlameSlash2,FlameSlash2,FlameSlash2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
FireElemental	Fire Elemental	False	9	70	5	1	2	FlameStrike		FlameStrike,FlameStrike,FlameSlash3,FlameSlash3,FireShape,FireShape,ManaSurge,ManaSurge,FlameSlash2,FlameSlash2,FlameSlash2	13	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	FlameStrike,FlameStrike,FlameSlash3,FlameSlash3,FireShape,FireShape,ManaSurge,ManaSurge,FlameSlash2,FlameSlash2,FlameSlash2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
FireElemental	Fire Elemental	False	10	85	5	1	2	FlameStrike		FlameStrike,FlameStrike,FlameSlash3,FlameSlash3,FireShape,FireShape,ManaSurge,ManaSurge,Meteor,FlameSlash2,FlameSlash2,Meteor	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	FlameStrike,FlameStrike,FlameSlash3,FlameSlash3,FireShape,FireShape,ManaSurge,ManaSurge,Meteor,FlameSlash2,FlameSlash2,Meteor,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
GelatinousCube	Gelatinous Cube	True	4	45	0	1	2	Resilience		Slurp,Slurp,Slurp	12	Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Slurp,Slurp,Slurp,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
GelatinousCube	Gelatinous Cube	True	5	60	0	1	2	Resilience		Slurp,Slurp,Slurp	14	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Slurp,Slurp,Slurp,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
GelatinousCube	Gelatinous Cube	True	6	90	0	1	2	Resilience		Slurp,Slurp,Slurp,Resilience,Engulf	14	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	Slurp,Slurp,Slurp,Resilience,Engulf,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	HealthValue * health_mult
GelatinousCube	Gelatinous Cube	True	7	120	0	1	2	Resilience		Slurp,Slurp,Slurp,Resilience,Engulf	17	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Slurp,Slurp,Slurp,Resilience,Engulf,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Genie	Genie	True	4	30	5	1	2	BadWishes,BadWishes2		BadWishes,BadWishes,Mana2,ManaSurge,Haste,Ward,Wisdom	8	Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	BadWishes,BadWishes,Mana2,ManaSurge,Haste,Ward,Wisdom,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Genie	Genie	True	5	40	5	1	2	BadWishes,BadWishes2		BadWishes,BadWishes,ManaSurge,ManaSurge,Haste,Ward,Wisdom,Ward	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	BadWishes,BadWishes,ManaSurge,ManaSurge,Haste,Ward,Wisdom,Ward,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Genie	Genie	True	6	60	5	1	2	BadWishes,BadWishes2		BadWishes2,BadWishes2,ManaSurge,ManaSurge,Haste,Ward,Wisdom,Ward,VaporForm,Shock	10	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	BadWishes2,BadWishes2,ManaSurge,ManaSurge,Haste,Ward,Wisdom,Ward,VaporForm,Shock,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3	HealthValue * health_mult
Genie	Genie	True	7	80	5	1	2	BadWishes,BadWishes2		BadWishes2,BadWishes2,ManaSurge,ManaSurge,Haste,Ward,Wisdom,Ward,VaporForm,Shock,BadWishes2,Soulfire	13	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	BadWishes2,BadWishes2,ManaSurge,ManaSurge,Haste,Ward,Wisdom,Ward,VaporForm,Shock,BadWishes2,Soulfire,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Ghost	Ghost	False	5	20	0	1	2		CloakOfInvisibility	Hide,Hide	12	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Hide,Hide,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Ghost	Ghost	False	6	30	0	1	2		CloakOfInvisibility	Hide,Hide	12	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	Hide,Hide,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	HealthValue * health_mult
Ghost	Ghost	False	7	40	0	1	2		CloakOfInvisibility	Hide,Hide,Exhaustion	15	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Hide,Hide,Exhaustion,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Ghost	Ghost	False	8	55	0	1	2		CloakOfInvisibility	Hide,Hide,Exhaustion	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	Hide,Hide,Exhaustion,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
Ghost	Ghost	False	9	70	0	1	2		CloakOfInvisibility	Hide,Hide,Exhaustion,CloakOfInvisibility	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Hide,Hide,Exhaustion,CloakOfInvisibility,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Ghost	Ghost	False	10	85	0	1	2		CloakOfInvisibility	Hide,Hide,Exhaustion,CloakOfInvisibility,Anticipate	17	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	Hide,Hide,Exhaustion,CloakOfInvisibility,Anticipate,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	HealthValue * health_mult
Ghoul	Ghoul	False	4	15	0	1	4			Ravage,Ravage	18	Attack1,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Ravage,Ravage,Attack1,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Ghoul	Ghoul	False	5	20	0	1	4			Ravage,Ravage	20	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Ravage,Ravage,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
Ghoul	Ghoul	False	6	30	0	1	4			Ravage,Ravage,Ravage	20	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3	Ravage,Ravage,Ravage,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
Ghoul	Ghoul	False	7	40	0	1	4			Ravage,Ravage,Ravage	23	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Ravage,Ravage,Ravage,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
GiantShark	Giant Shark	True	4	33	0	1	2	SharkBite,SharkBite2		SharkBite,SharkBite,Thrash,Thrash	10	Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	SharkBite,SharkBite,Thrash,Thrash,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
GiantShark	Giant Shark	True	5	45	0	1	2	SharkBite,SharkBite2		SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute	12	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
GiantShark	Giant Shark	True	6	67	0	1	2	SharkBite,SharkBite2		SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute,Thrash	12	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute,Thrash,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3	HealthValue * health_mult
GiantShark	Giant Shark	True	7	90	0	1	2	SharkBite,SharkBite2		SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute,Thrash,SharkBite	15	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute,Thrash,SharkBite,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
GiantShark	Giant Shark	True	8	123	0	1	2	SharkBite,SharkBite2		SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute,Thrash,SharkBite,Thrash	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute,Thrash,SharkBite,Thrash,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4	HealthValue * health_mult
GiantShark	Giant Shark	True	9	157	0	1	2	SharkBite,SharkBite2		SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute,Thrash,SharkBite,Thrash,Thrash	15	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	SharkBite,SharkBite,Thrash,Thrash,Thrash,Execute,Thrash,SharkBite,Thrash,Thrash,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
GiantShark	Giant Shark	True	10	191	0	1	2	SharkBite,SharkBite2		SharkBite2,SharkBite2,Thrash,Thrash,Thrash,Execute,Thrash,SharkBite2,Thrash,Thrash	17	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	SharkBite2,SharkBite2,Thrash,Thrash,Thrash,Execute,Thrash,SharkBite2,Thrash,Thrash,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	HealthValue * health_mult
GiantSpider	Giant Spider	False	1	4	0	1	2	Sting,Web		Sting,Sting,Sting,Web,Web,Web	8	Attack1,Attack1,Attack1,Attack1,Attack1,Attack1,Attack1,Attack1	Sting,Sting,Sting,Web,Web,Web,Attack1,Attack1,Attack1,Attack1,Attack1,Attack1,Attack1,Attack1	HealthValue * health_mult
GiantSpider	Giant Spider	False	2	7	0	1	2	Sting,Web		Sting,Sting,Sting,Web,Web,Web	8	Attack1,Attack1,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2	Sting,Sting,Sting,Web,Web,Web,Attack1,Attack1,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2	HealthValue * health_mult
GiantSpider	Giant Spider	False	3	10	0	1	2	Sting,Web		Sting,Sting,Sting,Web,Web,Web	11	Attack1,Attack1,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2	Sting,Sting,Sting,Web,Web,Web,Attack1,Attack1,Attack1,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
GiantSpider	Giant Spider	False	4	15	0	1	2	Sting,Web		Sting,Sting,Sting,Web2,Web,Web	11	Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	Sting,Sting,Sting,Web2,Web,Web,Attack1,Attack1,Attack1,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2	HealthValue * health_mult
GiantSquid	Kraken	True	7	80	0	1	2	Entrap		Entrap	17	Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	Entrap,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack2,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3	HealthValue * health_mult
GiantSquid	Kraken	True	8	110	0	1	2	Entrap		Entrap	17	Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	Entrap,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack3,Attack4,Attack4,Attack4,Attack4	HealthValue * health_mult
